Zipcode,Order#,City,State
1832,"[2894652689, 3020799143, 3009545735]","['HAVERHILL', 'HAVERHILL', 'HAVERHILL']","['MA', 'MA', 'MA']"
1833,[3021767780],['GEORGETOWN'],['MA']
1835,[3015749804],['HAVERHILL'],['MA']
1841,[3022440977],['LAWRENCE'],['MA']
1844,[3021845055],['METHUEN'],['MA']
1850,[3011401306],['LOWELL'],['MA']
1851,[3020489700],['LOWELL'],['MA']
1852,"[2827936776, 3005098507]","['LOWELL', 'LOWELL']","['MA', 'MA']"
1854,"[3016150807, 3016150807, 3016150807, 2453643911, 2453643911, 2453643911, 2911779684, 2911779684]","['LOWELL', 'LOWELL', 'LOWELL', 'LOWELL', 'LOWELL', 'LOWELL', 'LOWELL', 'LOWELL']","['MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA']"
1860,[3024424607],['MERRIMAC'],['MA']
1863,[3024392043],['NORTH CHELMSFORD'],['MA']
1879,[3022332753],['TYNGSBORO'],['MA']
1880,"[3022936970, 2929700099, 2929700099, 2929700099, 2929700099, 2929700099, 2929700099, 2929700099, 2929700099, 2929700099, 2929700099, 2929700099, 2929700099, 2929700099, 2929700099, 2929700099, 2929700099]","['WAKEFIELD', 'WAKEFIELD', 'WAKEFIELD', 'WAKEFIELD', 'WAKEFIELD', 'WAKEFIELD', 'WAKEFIELD', 'WAKEFIELD', 'WAKEFIELD', 'WAKEFIELD', 'WAKEFIELD', 'WAKEFIELD', 'WAKEFIELD', 'WAKEFIELD', 'WAKEFIELD', 'WAKEFIELD', 'WAKEFIELD']","['MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA']"
1886,[3022545116],['WESTFORD'],['MA']
1890,[3024499652],['WINCHESTER'],['MA']
1907,"[3015776442, 3014031637, 2993063462]","['SWAMPSCOTT', 'SWAMPSCOTT', 'SWAMPSCOTT']","['MA', 'MA', 'MA']"
1913,"[3011357100, 3011357100, 3011357100, 2862457628, 2764565303, 2764565303, 2764565303, 2764565303, 2792814077, 2792814077, 2792814077, 2792814077, 2792814077, 2792814077, 2792814077, 2903609650, 2903609650, 2840355682, 2840355682]","['AMESBURY', 'AMESBURY', 'AMESBURY', 'AMESBURY', 'AMESBURY', 'AMESBURY', 'AMESBURY', 'AMESBURY', 'AMESBURY', 'AMESBURY', 'AMESBURY', 'AMESBURY', 'AMESBURY', 'AMESBURY', 'AMESBURY', 'AMESBURY', 'AMESBURY', 'AMESBURY', 'AMESBURY']","['MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA']"
1915,"[3024305307, 3022927787]","['BEVERLY', 'BEVERLY']","['MA', 'MA']"
1922,[2994606323],['BYFIELD'],['MA']
1923,"[3024391386, 3022887457, 3020484732, 3017139930]","['DANVERS', 'DANVERS', 'DANVERS', 'DANVERS']","['MA', 'MA', 'MA', 'MA']"
1930,"[3019929226, 3010409140]","['GLOUCESTER', 'GLOUCESTER']","['MA', 'MA']"
1938,"[3023449775, 3023136733, 3021018309]","['IPSWICH', 'IPSWICH', 'IPSWICH']","['MA', 'MA', 'MA']"
1940,[3020664098],['LYNNFIELD'],['MA']
1945,"[3024407713, 3023059444, 3015749866]","['MARBLEHEAD', 'MARBLEHEAD', 'MARBLEHEAD']","['MA', 'MA', 'MA']"
1949,"[3021793762, 3003566569]","['MIDDLETON', 'MIDDLETON']","['MA', 'MA']"
1950,"[2468442416, 3022462571, 3020762748, 3006596025]","['NEWBURYPORT', 'NEWBURYPORT', 'NEWBURYPORT', 'NEWBURYPORT']","['MA', 'MA', 'MA', 'MA']"
1952,"[3022415030, 2904349453, 2904349453, 2908532847]","['SALISBURY', 'SALISBURY', 'SALISBURY', 'SALISBURY']","['MA', 'MA', 'MA', 'MA']"
1960,[3017107613],['PEABODY'],['MA']
1969,[3023131672],['ROWLEY'],['MA']
1970,"[3022687716, 2786580365, 2786580365, 2786580365]","['SALEM', 'SALEM', 'SALEM', 'SALEM']","['MA', 'MA', 'MA', 'MA']"
1982,[3020714514],['SOUTH HAMILTON'],['MA']
1984,[3003331770],['WENHAM'],['MA']
2019,[3006654694],['BELLINGHAM'],['MA']
2025,"[3022729033, 3021213677, 3020533509]","['COHASSET', 'COHASSET', 'COHASSET']","['MA', 'MA', 'MA']"
2026,"[3020683348, 3014290829]","['DEDHAM', 'DEDHAM']","['MA', 'MA']"
2032,[3023412830],['EAST WALPOLE'],['MA']
2035,"[2907081096, 3003285045]","['FOXBOROUGH', 'FOXBORO']","['MA', 'MA']"
2043,"[3024340133, 3023147832, 3022543229, 3022365960, 3022176397]","['HINGHAM', 'HINGHAM', 'HINGHAM', 'HINGHAM', 'HINGHAM']","['MA', 'MA', 'MA', 'MA', 'MA']"
2045,[3023825670],['HULL'],['MA']
2048,[3020349710],['MANSFIELD'],['MA']
2050,[3024137627],['MARSHFIELD'],['MA']
2053,"[3022352284, 3020324150]","['MEDWAY', 'MEDWAY']","['MA', 'MA']"
2054,[3023028988],['MILLIS'],['MA']
2061,[3017742621],['Norwell'],['MA']
2066,"[3021566930, 3021154430, 3018280588]","['SCITUATE', 'SCITUATE', 'SCITUATE']","['MA', 'MA', 'MA']"
2067,"[3023705040, 3023180140, 3022681379, 3020605591, 3015797858, 3017207108]","['SHARON', 'SHARON', 'SHARON', 'SHARON', 'SHARON', 'SHARON']","['MA', 'MA', 'MA', 'MA', 'MA', 'MA']"
2072,[3017300042],['STOUGHTON'],['MA']
2081,[3022669541],['WALPOLE'],['MA']
2090,[3022803530],['WESTWOOD'],['MA']
2093,[3023147829],['WRENTHAM'],['MA']
2108,"[3022522217, 3005603347]","['BOSTON', 'BOSTON']","['MA', 'MA']"
2109,"[3024417144, 3023432138, 3023282469, 3020502480, 3019554203]","[nan, 'BOSTON', 'BOSTON', 'BOSTON', 'BOSTON']","['MA', 'MA', 'MA', 'MA', 'MA']"
2110,"[3019868868, 3017251679]","['BOSTON', 'BOSTON']","['MA', 'MA']"
2111,"[3020273763, 3021729687]","['BOSTON', 'BOSTON']","['MA', 'MA']"
2114,"[3022100814, 3022100814]","['BOSTON', 'BOSTON']","['MA', 'MA']"
2115,[3019881003],['BOSTON'],['MA']
2116,"[3024201149, 3022579976, 3022412665, 3021292202, 3017447769, 3013108018]","['BOSTON', 'BOSTON', 'BOSTON', 'BOSTON', 'BOSTON', 'BOSTON']","['MA', 'MA', 'MA', 'MA', 'MA', 'MA']"
2118,"[3023127662, 3021645296, 3020651790]","['BOSTON', 'BOSTON', 'BOSTON']","['MA', 'MA', 'MA']"
2124,"[3024311826, 3023432189, 3023346336]","['DORCHESTER', 'DORCHESTER', 'DORCHESTER']","['MA', 'MA', 'MA']"
2126,[3010331027],['MATTAPAN'],['MA']
2127,"[3023741739, 3022687593, 3020399116, 3020241443, 3017683443, 3011922455]","['SOUTH BOSTON', 'BOSTON', 'BOSTON', 'BOSTON', 'BOSTON', 'SOUTH BOSTON']","['MA', 'MA', 'MA', 'MA', 'MA', 'MA']"
2129,"[3020753931, 3011311654, 3011311654]","['CHARLESTOWN', 'CHARLESTOWN', 'CHARLESTOWN']","['MA', 'MA', 'MA']"
2130,"[2891762556, 3002433142]","['JAMAICA PLAIN', 'BOSTON']","['MA', 'MA']"
2131,"[3024013841, 3023264688, 3021281717]","['BOSTON', 'BOSTON', 'ROSLINDALE']","['MA', 'MA', 'MA']"
2132,"[2859015666, 3006710440]","['WEST ROXBURY', 'WEST ROXBURY']","['MA', 'MA']"
2135,"[3014090249, 2915177476, 3012794789, 3010131047]","['BRIGHTON', 'BRIGHTON', 'BOSTON', 'BRIGHTON']","['MA', 'MA', 'MA', 'MA']"
2138,"[3024304339, 3023281118, 3006478116]","['CAMBRIDGE', 'CAMBRIDGE', 'CAMBRIDGE']","['ME', 'MA', 'MA']"
2139,"[3023432374, 2973171908, 3021478487, 3020730706, 3007759707, 3006079118, 3003586086, 3003586040]","['CAMBRIDGE', 'CAMBRIDGE', 'CAMBRIDGE', 'CAMBRIDGE', 'CAMBRIDGE', 'CAMBRIDGE', 'CAMBRIDGE', 'CAMBRIDGE']","['MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA']"
2140,[3022822346],['CAMBRIDGE'],['MA']
2141,[3012559267],['CAMBRIDGE'],['MA']
2142,"[3023165585, 3022813967]","['CAMBRIDGE', 'CAMBRIDGE']","['MA', 'MA']"
2144,[3013035161],['SOMERVILLE'],['MA']
2145,"[3017933978, 3017933978]","['SOMERVILLE', 'SOMERVILLE']","['MA', 'MA']"
2148,"[3021713506, 3009019664, 3007811358]","['MALDEN', 'MALDEN', 'MALDEN']","['MA', 'MA', 'MA']"
2149,"[3017881663, 3017170826, 3012091495]","['EVERETT', 'EVERETT', 'EVERETT']","['MA', 'MA', 'MA']"
2150,"[2878307617, 2878307617]","['CHELSEA', 'CHELSEA']","['MA', 'MA']"
2151,"[3022155704, 3017440346]","['REVERE', 'REVERE']","['MA', 'MA']"
2152,"[2939290193, 2939290193, 3010982289]","['WINTHROP', 'WINTHROP', 'WINTHROP']","['MA', 'MA', 'MA']"
2155,[2443031113],['MEDFORD'],['MA']
2169,"[2890741736, 2890741736, 2890741736]","['QUINCY', 'QUINCY', 'QUINCY']","['MA', 'MA', 'MA']"
2170,[3016898759],['QUINCY'],['MA']
2171,"[3022237121, 3012317266]","['QUINCY', 'QUINCY']","['MA', 'MA']"
2176,[3023534995],['MELROSE'],['MA']
2184,"[3024446619, 3024362909, 3024385934, 3024362840, 3021289451, 3022813661, 3022316606, 3021354479, 2940782768, 2940782768, 2940782768, 3016135639]","['BRAINTREE', 'BRAINTREE', 'BRAINTREE', 'BRAINTREE', 'BRAINTREE', 'BRAINTREE', 'Braintree', 'BRAINTREE', 'BRAINTREE', 'BRAINTREE', 'BRAINTREE', 'BRAINTREE']","['MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA']"
2186,"[3020326753, 3016382684, 3010891928, 3010932675]","['MILTON', 'MILTON', 'MILTON', 'MILTON']","['MA', 'MA', 'MA', 'MA']"
2190,"[3023808858, 3022927957, 3022631932, 3022721040, 3001126350, 3001126350, 3008340732, 3007702026, 3007641450, 3007641392, 3006668671]","['WEYMOUTH', 'WEYMOUTH', 'SO. WEYMOUTH', 'S WEYMOUTH', 'WEYMOUTH', 'WEYMOUTH', 'SOUTH WEYMOUTH', 'SOUTH WEYMOUTH', 'SOUTH WEYMOUTH', 'SOUTH WEYMOUTH', 'WEYMOUTH']","['MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA']"
2210,"[3022524019, 3012931166, 3006954481]","['BOSTON', 'BOSTON', 'BOSTON']","['MA', 'MA', 'MA']"
2215,[3007782797],['BOSTON'],['MA']
2301,"[3024174158, 3011110443, 3018644624, 3012774955]","['BROCKTON', 'BROCKTON', 'BROCKTON', 'BROCKTON']","['MA', 'MA', 'MA', 'MA']"
2302,"[3023442708, 3023098027]","['BROCKTON', 'BROCKTON']","['MA', 'MA']"
2324,"[3024428011, 3024306993, 3019073865]","['BRIDGEWATER', 'BRIDGEWATER', 'BRIDGEWATER']","['MA', 'MA', 'MA']"
2330,[3022085564],['CARVER'],['MA']
2332,[3023567258],['DUXBURY'],['MA']
2339,"[3023281144, 3017067138]","['HANOVER', 'HANOVER']","['MA', 'MA']"
2347,[3023364678],['LAKEVILLE'],['MA']
2356,"[3021845070, 3020482698]","['NORTH EASTON', 'NORTH EASTON']","['MA', 'MA']"
2359,[3022566060],['PEMBROKE'],['MA']
2360,"[3023745099, 3022769897, 3022752569, 3022339378, 3019825697, 3017358216]","['PLYMOUTH', 'PLYMOUTH', 'PLYMOUTH', 'PLYMOUTH', 'PLYMOUTH', 'PLYMOUTH']","['MA', 'MA', 'MA', 'MA', 'MA', 'MA']"
2364,[3017113327],['KINGSTON'],['MA']
2368,"[3021844373, 3020560606]","['RANDOLPH', 'RANDOLPH']","['MA', 'MA']"
2370,"[3020433436, 3008335621, 2999587571]","['ROCKLAND', 'ROCKLAND', 'ROCKLAND']","['MA', 'MA', 'MA']"
2379,[3021129479],['WEST BRIDGEWATER'],['MA']
2382,"[2864357446, 2864357446, 2864357446, 3019834348]","['WHITMAN', 'WHITMAN', 'WHITMAN', 'WHITMAN']","['MA', 'MA', 'MA', 'MA']"
2421,[3024126352],['LEXINGTON'],['MA']
2445,"[3024311981, 3024392366]","['BROOKLINE', 'BROOKLINE']","['MA', 'MA']"
2446,"[3017309237, 3012545053]","['BROOKLINE', 'BROOKLINE']","['MA', 'MA']"
2451,"[3023067800, 3022627730]","['WALTHAM', 'WALTHAM']","['MA', 'MA']"
2453,[3023433872],['WALTHAM'],['MA']
2458,"[3024487508, 3022854646]","['NEWTON', 'NEWTON']","['MA', 'MA']"
2459,"[3020740304, 3020621396, 2427798020]","['NEWTON', 'NEWTON', 'NEWTON']","['MA', 'MA', 'MA']"
2460,"[3024313313, 3019477176, 3010792027, 3010691490]","['NEWTON', 'NEWTONVILLE', 'NEWTON', 'NEWTON']","['MA', 'MA', 'MA', 'MA']"
2465,[3015826622],['NEWTON'],['MA']
2466,"[3022953557, 3021478292]","['AUBURNDALE', 'AUBURNDALE']","['MA', 'MA']"
2467,"[3023064105, 3022469303, 3021274101, 3011649815, 3009355417]","['CHESTNUT HILL', 'CHESTNUT HILL', 'CHESTNUT HILL', 'CHESTNUT HILL', 'CHESTNUT HILL']","['MA', 'MA', 'MA', 'MA', 'MA']"
2468,"[3024304376, 3024427099]","['WABAN', 'WABAN']","['MA', 'MA']"
2472,"[3022707024, 3017504846]","['WATERTOWN', 'WATERTOWN']","['MA', 'MA']"
2474,"[3021157279, 3020487508]","['ARLINGTON', 'ARLINGTON']","['MA', 'MA']"
2476,[3022829132],['ARLINGTON'],['MA']
2478,[3010499975],['BELMONT'],['MA']
2481,[3022627738],['WELLESLEY HILLS'],['MA']
2492,"[2181377094, 3011239239, 3009011676]","['NEEDHAM', 'NEEDHAM', 'NEEDHAM']","['MA', 'MA', 'MA']"
2494,"[3022323920, 3022323920]","['NEEDHAM', 'NEEDHAM']","['MA', 'MA']"
2535,[3023820455],['CHILMARK'],['MA']
2536,"[1946894215, 3018679373]","['EAST FALMOUTH', 'FALMOUTH']","['MA', 'MA']"
2537,[3013672957],['EAST SANDWICH'],['MA']
2539,"[3023855399, 2979305147, 3014181943, 3005913896]","['EDGARTOWN', 'EDGARTOWN', 'EDGARTOWN', 'EDGARTOWN']","['MA', 'MA', 'MA', 'MA']"
2540,"[3011577660, 3011577660]","['FALMOUTH', 'FALMOUTH']","['MA', 'MA']"
2554,"[3024055810, 3021869993, 3022227618, 3022047323, 3022047211, 3021615084, 3021392711, 3019986523, 3016702113, 3013980150, 3011106026, 3005873564]","['NANTUCKET', 'NANTUCKET', 'NANTUCKET', 'NANTUCKET', 'NANTUCKET', 'NANTUCKET', 'NANTUCKET', 'NANTUCKET', 'NANTUCKET', 'NANTUCKET', 'NANTUCKET', 'NANTUCKET']","['MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA']"
2562,[3022822495],['SAGAMORE BEACH'],['MA']
2563,[3022793120],['SANDWICH'],['MA']
2568,"[3013042116, 3011504257, 3011667454]","['VINEYARD HAVEN', nan, 'VINEYARD HAVEN']","['MA', 'MA', 'MA']"
2571,[3023388070],['WAREHAM'],['MA']
2601,[3021845767],['HYANNIS'],['MA']
2631,"[3024137718, 3024015256, 3021100710]","['BREWSTER', 'BREWSTER', 'BREWSTER']","['MA', 'MA', 'MA']"
2632,[3019454097],['CENTERVILLE'],['MA']
2633,[3022949371],['CHATHAM'],['MA']
2642,[3022146942],['EASTHAM'],['MA']
2645,[3014002815],['HARWICH'],['MA']
2646,[3024023073],['HARWICH PORT'],['MA']
2648,"[3016399889, 3006800141]","['MARSTONS MILLS', 'MARSTONS MILLS']","['MA', 'MA']"
2649,"[2975651256, 2975651256, 2975651256]","['MASHPEE', 'MASHPEE', 'MASHPEE']","['MA', 'MA', 'MA']"
2650,[3009926475],['NORTH CHATHAM'],['MO']
2657,"[3024313213, 2879815179, 2879815179, 2879815179, 3020360482, 3008865049, 3008089040]","['PROVINCETOWN', 'PROVINCETOWN', 'PROVINCETOWN', 'PROVINCETOWN', 'PROVINCETOWN', 'PROVINCETOWN', nan]","['MA', 'MA', 'MA', 'MA', 'MA', 'MA', 'MA']"
2667,[3005175466],[nan],['MA']
2668,[3023808727],['WEST BARNSTABLE'],['MA']
2671,[3022508469],['WEST HARWICH'],['MA']
2675,"[3008129451, 3007876342]","['YARMOUTH PORT', 'YARMOUTH PORT']","['MA', 'MA']"
2703,"[3024183919, 3023469035, 3008753567]","['ATTLEBORO', 'ATTLEBORO', 'ATTLEBORO']","['MA', 'MA', 'MA']"
2717,[3021204713],['EAST FREETOWN'],['MA']
2718,[3022903445],['EAST TAUNTON'],['MA']
2719,"[3022086118, 3007268068]","['FAIRHAVEN', 'FAIRHAVEN']","['MA', 'MA']"
2721,[3023031436],['FALL RIVER'],['MA']
2724,[3022923480],['FALL RIVER'],['MA']
2726,"[3020683419, 3020456465]","['SOMERSET', 'SOMERSET']","['MA', 'MA']"
2738,[2863100632],['MARION'],['MA']
2740,[3023425023],['NEW BEDFORD'],['MA']
2743,"[2961394369, 2961394369]","['ACUSHNET', 'ACUSHNET']","['MA', 'MA']"
2748,"[3022472296, 3015141772]","['DARTMOUTH', 'SOUTH DARTMOUTH']","['MA', 'MA']"
2762,"[2960015107, 2960015107]","['PLAINVILLE', 'PLAINVILLE']","['MA', 'MA']"
2763,[3023567397],['NORTH ATTLEBORO'],['MA']
2764,[2891817304],['NORTH DIGHTON'],['MA']
2766,"[3005752758, 3003490078]","['NORTON', 'NORTON']","['MA', 'MA']"
2780,[3007178853],['TAUNTON'],['MA']
2790,[3022443007],['WESTPORT'],['MA']
2806,[3020513614],['BARRINGTON'],['RI']
2809,"[3022721155, 3013392257, 3013068580]","['BRISTOL', 'BRISTOL', 'BRISTOL']","['RI', 'RI', 'RI']"
2814,[3003622497],['CHEPACHET'],['RI']
